LigandID;heavyAtomSize;flexibility
16V;21;0.153846
16W;25;0.0869565
16X;23;0.157895
16Y;19;0.3
16Z;17;0.0540541
170;37;0.175439
171;13;0.166667
172;11;0
173;11;0.117647
174;10;0.0666667
175;15;0.129032
176;34;0.140625
177;33;0.171429
178;21;0.0909091
179;27;0.122449
17A;36;0.15942
17B;17;0.131579
17C;19;0.129032
17D;16;0.103448
17E;9;0
17F;54;0.320611
17G;32;0.0588235
17H;23;0.037037
17J;26;0.106383
17K;32;0.196429
17L;39;0.114286
17M;21;0
17N;25;0.075
17O;20;0.0909091
17P;29;0.0701754
17Q;21;0.116667
17R;32;0.0925926
17S;25;0.148936
17T;24;0.139535
17U;11;0.137931
17V;25;0.0652174
17W;19;0.142857
17X;48;0.103093
17Y;7;0
17Z;13;0
180;34;0.174603
181;20;0.171429
182;20;0.171429
